,Unnamed: 0,links,rest_name,rest_location,rest_rating_aggr,rest_cuisine,rest_cuisine_2,rest_cuisine_3,rest_no_review,rest_price_cat,post1,post2,area,rest1,rest2
276,154,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1012379-Reviews-El_Viejo_Mexico-Copenhagen_Zealand.html,El Viejo Mexico,"Store Kongensgade 61, København 1264 Danmark",4.5,Mexicansk,Amerikansk,Latinamerikansk,864.0,2.5,"Store Kongensgade 61, København 1264",1264.0,København K,Mexicansk,Latinamerikansk
277,207,https://www.tripadvisor.dk/Restaurant_Review-g189541-d695036-Reviews-Ida_Davidsen-Copenhagen_Zealand.html,Ida Davidsen,"Store Kongensgade 70, København 1264 Danmark",4.0,Europæisk,Skandinavisk,Dansk,609.0,2.5,"Store Kongensgade 70, København 1264",1264.0,København K,Europæisk,Europæisk
278,814,https://www.tripadvisor.dk/Restaurant_Review-g189541-d9712570-Reviews-Peter_Beier_Chocolate_A_S-Copenhagen_Zealand.html,Peter Beier Chokolade A/S,"Store Kongensgade 3, København 1264 Danmark",4.5,Café],,,27.0,2.5,"Store Kongensgade 3, København 1264",1264.0,København K,Café,Café
279,333,https://www.tripadvisor.dk/Restaurant_Review-g189541-d694987-Reviews-Restaurant_Rebel-Copenhagen_Zealand.html,Restaurant Rebel,"Store Kongensgade 52, København 1264 Danmark",4.0,Europæisk,Skandinavisk,Dansk,181.0,4.0,"Store Kongensgade 52, København 1264",1264.0,København K,Europæisk,Europæisk
280,216,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1812651-Reviews-Cafe_Oscar-Copenhagen_Zealand.html,Cafe Oscar,"Bredgade 58, København 1264 Danmark",4.0,Bar,Café,Europæisk,629.0,2.5,"Bredgade 58, København 1264",1264.0,København K,Bar,Bar
281,477,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1086234-Reviews-Vespa-Copenhagen_Zealand.html,Vespa,"Store Kongensgade 90, København 1264 Danmark",4.0,Italiensk,Middelhavsområdet,Spisested,182.0,2.5,"Store Kongensgade 90, København 1264",1264.0,København K,Italiensk,Italiensk
282,8,https://www.tripadvisor.dk/Restaurant_Review-g189541-d12170406-Reviews-Madbaren_Marmorkirken-Copenhagen_Zealand.html,Madbaren Marmorkirken,"Store Kongensgade 77, København 1264 Danmark",5.0,Pizza,Europæisk,Vegetarvenlig,230.0,1.0,"Store Kongensgade 77, København 1264",1264.0,København K,Pizza,Fastfood
283,856,https://www.tripadvisor.dk/Restaurant_Review-g189541-d8816413-Reviews-Otto-Copenhagen_Zealand.html,Otto,"Store Kongensgade 34, København 1264 Danmark",4.0,Europæisk,Skandinavisk,Vegetarvenlig,63.0,2.5,"Store Kongensgade 34, København 1264",1264.0,København K,Europæisk,Europæisk
284,20,https://www.tripadvisor.dk/Restaurant_Review-g189541-d10809461-Reviews-Restaurant_Komplet-Copenhagen_Zealand.html,Restaurant Komplet,"Store Kongensgade 65, København 1264 Danmark",4.5,Steakhouse,International,Grillmad,459.0,2.5,"Store Kongensgade 65, København 1264",1264.0,København K,Steakhouse,Steakhouse
285,446,https://www.tripadvisor.dk/Restaurant_Review-g189541-d12936186-Reviews-The_Vietnamese-Copenhagen_Zealand.html,The Vietnamese,"Store Kongensgade 91, København 1264 Danmark",4.5,Asiatisk,Vietnamesisk,Vegetarvenlig,88.0,2.5,"Store Kongensgade 91, København 1264",1264.0,København K,Asiatisk,Asiatisk
286,501,https://www.tripadvisor.dk/Restaurant_Review-g189541-d11734244-Reviews-Cantina-Copenhagen_Zealand.html,Cantina,"Borgergade 2, København 1300 Danmark",3.5,Italiensk,Pizza,Middelhavsområdet,273.0,2.5,"Borgergade 2, København 1300",1300.0,København K,Italiensk,Italiensk
287,260,https://www.tripadvisor.dk/Restaurant_Review-g189541-d6513935-Reviews-Nyboders_Kokken-Copenhagen_Zealand.html,Nyboders Køkken,"Borgergade 134, København 1300 Danmark",4.5,Europæisk,Skandinavisk,Dansk,204.0,2.5,"Borgergade 134, København 1300",1300.0,København K,Europæisk,Europæisk
288,893,https://www.tripadvisor.dk/Restaurant_Review-g189541-d13222898-Reviews-Fabro-Copenhagen_Zealand.html,Fabro,"Borgergade 134, København 1300 Danmark",4.5,Italiensk,Europæisk,Dansk,26.0,1.0,"Borgergade 134, København 1300",1300.0,København K,Italiensk,Italiensk
289,136,https://www.tripadvisor.dk/Restaurant_Review-g189541-d8507013-Reviews-Sticks_n_Sushi-Copenhagen_Zealand.html,Sticks'n'Sushi,"Borgergade 13, København 1300 Danmark",4.5,Japansk,Fisk og skaldyr,Sushi,290.0,2.5,"Borgergade 13, København 1300",1300.0,København K,Japansk,Japansk
290,244,https://www.tripadvisor.dk/Restaurant_Review-g189541-d3606743-Reviews-Pluto-Copenhagen_Zealand.html,Pluto,"Borgergade 16, København 1300 Danmark",4.0,Europæisk,Skandinavisk,Dansk,850.0,2.5,"Borgergade 16, København 1300",1300.0,København K,Europæisk,Europæisk
291,41,https://www.tripadvisor.dk/Restaurant_Review-g189541-d4115482-Reviews-Che_Fe_Trattoria-Copenhagen_Zealand.html,Ché Fè,"Borgergade 17A, København 1300 Danmark",4.5,Italiensk,Europæisk,Toscansk,617.0,2.5,"Borgergade 17A, København 1300",1300.0,København K,Italiensk,Italiensk
