,links,rest_name,rest_location,rest_rating,rest_cuisine,rest_cuisine_2,rest_cuisine_3,rest_no_review,rest_price_cat
310,https://www.tripadvisor.dk/Restaurant_Review-g189541-d694936-Reviews-Bankerat-Copenhagen_Zealand.html,Bankeråt,"Ahlefeldtsgade 27-29, København 1359 Danmark",4.0,Bar,Café,Grill,133,2.5
311,https://www.tripadvisor.dk/Restaurant_Review-g189541-d6219352-Reviews-Je_t_aime-Copenhagen_Zealand.html,Je t'aime,"Dybboelsgade 9, København 1721 Danmark",4.5,Fransk,Europæisk,Vegetarvenlig,159,2.5
312,https://www.tripadvisor.dk/Restaurant_Review-g189541-d2278612-Reviews-Tivolihallen-Copenhagen_Zealand.html,Tivolihallen,"Vester Voldgate 91 1552 Copenhagen, København Danmark",4.0,Europæisk,Skandinavisk,Dansk,278,2.5
313,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1022272-Reviews-Huks_Fluks-Copenhagen_Zealand.html,Huks Fluks,"Graabroedretorv 8, København 1154 Danmark",4.0,Europæisk,Vegetarvenlig,Glutenfri retter,411,2.5
314,https://www.tripadvisor.dk/Restaurant_Review-g189541-d7723191-Reviews-Baan_Thai_Isarn-Copenhagen_Zealand.html,Baan Thai Isarn,"Lille Istedgade 7, København 1706 Danmark",4.0,Asiatisk,Thai,Vegetarvenlig,163,2.5
315,https://www.tripadvisor.dk/Restaurant_Review-g189541-d3357291-Reviews-Scurry_Hub-Copenhagen_Zealand.html,Scurry Hub,"Fiolstræde 30, København 1171 Danmark",4.5,Asiatisk,Thai,Fusion,168,1.0
316,https://www.tripadvisor.dk/Restaurant_Review-g189541-d12172094-Reviews-Hungry_Dane-Copenhagen_Zealand.html,Hungry Dane,"Gammel Torv 8 (Odense & Amsterdam), København 1457 Danmark",4.0,En hurtig bid mad,Amerikansk,Fastfood,157,1.0
317,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1471530-Reviews-Restaurant_Fridas-Copenhagen_Zealand.html,Restaurant Fridas,"Gammel Kongevej 5, København 1610 Danmark",4.0,Europæisk,Skandinavisk,Dansk,324,2.5
318,https://www.tripadvisor.dk/Restaurant_Review-g189541-d694993-Reviews-Ristorante_La_Buca_degli_Artisti-Copenhagen_Zealand.html,La Buca degli Artisti,"Godthåbsvej 209 2720 Vanlose, København 2720 Danmark",4.5,Italiensk,Middelhavsområdet,Europæisk,153,2.5
319,https://www.tripadvisor.dk/Restaurant_Review-g189541-d7166193-Reviews-Restaurant_Uma-Copenhagen_Zealand.html,Restaurant Uma,"Nørre Farimagsgade 13. kl, København 1364 Danmark",4.0,Japansk,Fisk og skaldyr,Sushi,148,2.5
320,https://www.tripadvisor.dk/Restaurant_Review-g189541-d15109871-Reviews-Dina_Bar_Kafe-Copenhagen_Zealand.html,Dina Bar Kafe,"Vester Voldgade 19, København 1552 Danmark",5.0,Italiensk,Fransk,Amerikansk,43,2.5
321,https://www.tripadvisor.dk/Restaurant_Review-g189541-d8624464-Reviews-Meatpacking_District_Food-Copenhagen_Zealand.html,Meatpacking District Food,"Flaesketorvet , 1711, København Danmark",4.5,Vegetarvenlig,Glutenfri retter],,102,2.5
322,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1315995-Reviews-Nyhavns_Faergekro-Copenhagen_Zealand.html,Nyhavns Faergekro,"Nyhavn 5, København 1051 Danmark",4.0,Europæisk,Skandinavisk,Dansk,1073,2.5
323,https://www.tripadvisor.dk/Restaurant_Review-g189541-d10375728-Reviews-The_Market_Asian_Kitchen_Bar-Copenhagen_Zealand.html,The Market Asian Kitchen & Bar,"Antonigade 2 In the Gallery between Lloyd and Nespresso, København 1106 Danmark",4.0,Sushi,Asiatisk,Vegetarvenlig,270,2.5
324,https://www.tripadvisor.dk/Restaurant_Review-g189541-d7372186-Reviews-Den_Okologiske_Polsemand-Copenhagen_Zealand.html,Den Okologiske Polsemand,"Ved Rundetarn, København 1153 Danmark",4.5,Fastfood,Skandinavisk,Dansk,69,1.0
325,https://www.tripadvisor.dk/Restaurant_Review-g189541-d17317272-Reviews-Pico_Pizza-Copenhagen_Zealand.html,Pico Pizza,"Skyttegade 3, København 2200 Danmark",5.0,Pizza],,,38,1.0
326,https://www.tripadvisor.dk/Restaurant_Review-g189541-d2396688-Reviews-A_C_Perch_s_Tea_Shop_Tea_Room-Copenhagen_Zealand.html,A.C. Perch's Thehandel,"Kronprinsensgade 5, København 1114 Danmark",4.0,,,,187,2.5
